200,VCCCLD0074,E1Q1,E1,E1,,8053373,KWH,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,20170208,43.53,36.163,32.71,33.623,33.152,33.23,34.641,31.158,35.652,56.02,60.684,59.845,58.274,54.97,57.284,59.847,61.907,64.338,69.782,67.554,67.902,69.408,72.056,70.999,71.784,71.66,72.719,74.331,75.055,73.188,74.785,73.202,72.884,74.269,72.764,71.253,68.576,66.712,71.591,75.112,73.365,63.558,57.513,62.819,57.756,55.495,55.964,56.454,A,,,2.01702E+13
300,20170209,61.423,61.523,57.487,51.87,52.191,51.425,51.231,50.556,53.079,71.84,76.721,75.805,71.688,70.116,72.056,69.673,67.388,68.867,71.944,69.8,69.095,72.117,74.536,71.178,71.974,72.795,71.49,71.565,66.693,68.024,65.284,65.048,65.459,64.377,70.143,68.679,67.566,65.048,63.501,65.518,67.034,52.187,47.083,54.362,46.912,47.188,43.843,44.622,A,,,2.01702E+13
300,20170210,47.464,41.286,38.808,37.82,38.468,36.786,37.032,36.472,40.853,64.515,67.932,66.495,61.418,61.447,61.606,65.13,68.897,65.169,67.796,67.424,65.424,66.051,63.207,61.626,59.817,65.651,66.532,65.72,65.438,64.4,63.567,64.786,64.123,65.771,63.466,61.99,62.023,65.125,64.443,56.759,46.612,40.177,45.282,51.272,43.904,44.084,43.175,44.138,A,,,2.01702E+13
300,20170211,45.322,37.602,35.656,36.855,36.033,34.598,33.84,33.34,32.715,31.44,32.487,31.97,33.513,43.844,51.955,56.584,58.405,59.505,60.186,57.166,57.697,58.194,56.148,59.714,56.453,57.492,57.903,58.661,60.325,58.69,56.675,54.797,50.059,47.178,47.11,38.991,37.502,41.097,44.108,44.962,42.897,42.681,42.924,45.108,39.558,31.424,31.22,30.793,A,,,2.01702E+13
300,20170212,32.863,32.698,32.03,30.95,31.721,30.314,29.96,32.523,29.735,27.584,28.541,29.359,29.441,43.144,52.342,54.338,50.466,51.992,50.939,52.251,53.619,55.139,56.417,56.78,55.318,56.161,56.996,58.119,57.504,57.357,58.238,51.721,36.382,31.863,29.517,29.541,40.552,40.861,40.403,39.316,39.192,39.572,38.466,27.367,27.499,27.687,26.193,25.926,A,,,2.01702E+13
300,20170213,28.35,29.5,27.747,27.524,28.03,27.7,27.999,28.292,29.2,52.237,55.801,54.849,49.448,47.491,48.374,48.782,53.549,57.45,59.602,61.573,57.852,58.532,59.468,57.849,58.296,55.643,57.756,60.132,57.397,60.59,59.532,59.395,55.48,57.497,60.576,60.811,56.514,53.751,53.209,53.131,53.612,43.334,38.04,44.913,37.178,36.763,37.299,36.531,A,,,2.01702E+13
300,20170214,35.87,28.358,27.725,27.534,27.024,27.299,27.773,28.659,31.471,49.44,56.258,55.588,53.126,51.979,50.744,55.893,57.965,57.097,58.623,57.072,57.395,58.297,57.955,60.015,55.512,57.215,58.151,57.641,55.487,57.821,61.897,61.142,59.192,59.61,58.431,59.334,54.261,53.487,52.447,53.48,49.588,41.921,38.214,42.425,38.699,36.374,36.115,36.047,A,,,2.01702E+13
300,20170215,37.842,33.647,26.438,26.248,26.029,26.742,26.53,26.534,28.43,48.194,53.082,51.808,42.218,43.21,43.942,50.216,55.821,59.477,59.824,58.379,61.243,61.436,62.57,65.882,66.964,68.238,69.074,68.673,70.007,71.159,69.297,69.771,70.305,70.645,74.271,77.38,75.655,74.664,72.318,69.374,64.986,53.77,47.121,54.608,47.646,46.983,44.118,44.734,A,,,2.01702E+13
300,20170216,45.659,40.366,38.1,37.156,37.144,36.367,35.122,34.598,37.605,58.233,64.219,63.522,59.187,57.264,54.516,61.842,61.678,54.756,61.856,60.254,62.741,60.344,61.603,58.917,60.37,60.038,58.131,62.486,59.11,58.098,57.705,60.111,60.785,59.866,59.069,58.07,52.842,49.781,52.365,50.121,49.201,38.894,30.444,41.873,36.991,37.281,36.479,35.795,A,,,2.01702E+13
300,20170217,36.804,28.104,26.361,26.726,25.579,26.013,25.053,25.063,24.699,45.511,54.997,54.65,52.361,51.054,52.493,52.72,57.925,58.835,62.881,58.661,62.157,57.757,55.826,55.193,53.536,56.304,55.417,54.836,55.902,56.965,56.415,57.638,57.606,58.058,57.984,57.861,55.882,46.196,51.164,44.015,41.16,43.576,42.466,40.864,36.776,34.735,36.087,34.528,A,,,2.01702E+13
