Read datetime,Export kWh,Import kWh,Net kWh,Export kVARh,Import kVARh,kW Demand,kVA Demand,Power Factor%,,
18/01/2022 0:00,0.17,0,0.17,0,0,0.34,0.34,100,,
18/01/2022 0:30,0.16,0,0.16,0,0,0.32,0.32,100,,
18/01/2022 1:00,0.16,0,0.16,0,0,0.32,0.32,100,,
18/01/2022 1:30,0.16,0,0.16,0,0,0.32,0.32,100,,
18/01/2022 2:00,0.14,0,0.14,0,0,0.28,0.28,100,,
18/01/2022 2:30,0.17,0,0.17,0,0,0.34,0.34,100,,
18/01/2022 3:00,0.14,0,0.14,0,0,0.28,0.28,100,,
18/01/2022 3:30,0.16,0,0.16,0,0,0.32,0.32,100,,
18/01/2022 4:00,0.16,0,0.16,0,0,0.32,0.32,100,,
18/01/2022 4:30,0.13,0,0.13,0,0,0.26,0.26,100,,
18/01/2022 5:00,0.17,0,0.17,0,0,0.34,0.34,100,,
18/01/2022 5:30,0.14,0,0.14,0,0,0.28,0.28,100,,
18/01/2022 6:00,0.15,0,0.15,0,0,0.3,0.3,100,,
18/01/2022 6:30,0.22,0,0.22,0,0,0.44,0.44,100,,
18/01/2022 7:00,0.41,0,0.41,0,0,0.82,0.82,100,,
18/01/2022 7:30,0.09,0.18,-0.09,0,0,-0.18,-0.18,100,,
18/01/2022 8:00,0,0.41,-0.41,0,0,-0.82,-0.82,100,,
18/01/2022 8:30,0,0.13,-0.13,0,0,-0.26,-0.26,100,,
18/01/2022 9:00,0,0.34,-0.34,0,0,-0.68,-0.68,100,,
18/01/2022 9:30,0,0.54,-0.54,0,0,-1.08,-1.08,100,,
18/01/2022 10:00,0,0.16,-0.16,0,0,-0.32,-0.32,100,,
18/01/2022 10:30,0,0.34,-0.34,0,0,-0.68,-0.68,100,,
18/01/2022 11:00,0,0.95,-0.95,0,0,-1.9,-1.9,100,,
18/01/2022 11:30,0,1.49,-1.49,0,0,-2.98,-2.98,100,,
18/01/2022 12:00,0,1.6,-1.6,0,0,-3.2,-3.2,100,,
18/01/2022 12:30,0,1.54,-1.54,0,0,-3.08,-3.08,100,,
18/01/2022 13:00,0,1.29,-1.29,0,0,-2.58,-2.58,100,,
18/01/2022 13:30,0,1.21,-1.21,0,0,-2.42,-2.42,100,,
18/01/2022 14:00,0,1.18,-1.18,0,0,-2.36,-2.36,100,,
18/01/2022 14:30,0,1.09,-1.09,0,0,-2.18,-2.18,100,,
18/01/2022 15:00,0,1.02,-1.02,0,0,-2.04,-2.04,100,,
18/01/2022 15:30,0,0.89,-0.89,0,0,-1.78,-1.78,100,,
18/01/2022 16:00,0,0.69,-0.69,0,0,-1.38,-1.38,100,,
18/01/2022 16:30,0.03,0.85,-0.82,0,0,-1.64,-1.64,100,,
18/01/2022 17:00,0.77,0,0.77,0,0,1.54,1.54,100,,
18/01/2022 17:30,0.93,0.06,0.87,0,0,1.74,1.74,100,,
18/01/2022 18:00,0.05,0,0.05,0,0,0.1,0.1,100,,
18/01/2022 18:30,0.5,0,0.5,0,0,1,1,100,,
18/01/2022 19:00,0.49,0,0.49,0,0,0.98,0.98,100,,
18/01/2022 19:30,0.48,0,0.48,0,0,0.96,0.96,100,,
18/01/2022 20:00,0.59,0,0.59,0,0,1.18,1.18,100,,
18/01/2022 20:30,0.59,0,0.59,0,0,1.18,1.18,100,,
18/01/2022 21:00,0.63,0,0.63,0,0,1.26,1.26,100,,
